ticker,market,name,theme,probe_price,core_price,strong_price,scale_audit_status,severity,action,comment
SPGI,US,S&P Global,指数・格付け,450.0,410.0,370.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
MELI,US,MercadoLibre,中南米EC・決済,1900.0,1700.0,1500.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
TMO,US,Thermo Fisher,ライフサイエンス,460.0,420.0,380.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
META,US,Meta Platforms,AI・広告・SNS,620.0,560.0,500.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
IONQ,US,IonQ,量子コンピュータ,32.0,25.0,18.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
RGTI,US,Rigetti,量子コンピュータ,10.0,7.0,5.0,DAILY_SCALE_CHECK_REQUIRED,high,価格桁・逆分割・ティッカー変更チェックを毎回実施,量子高ボラ。短期急騰急落により買い場判定が過敏になりやすい。
SDGR,US,Schrodinger,AI創薬,15.0,12.0,10.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
RXRX,US,Recursion,AI創薬,3.5,2.8,2.2,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
QCOM,US,Qualcomm,半導体・エッジAI,150.0,135.0,120.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
HSAI,US,Hesai,LiDAR,14.0,11.0,8.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
PL,US,Planet Labs,宇宙データ,4.5,3.5,2.7,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
V,US,Visa,決済,310.0,300.0,275.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
VRTX,US,Vertex Pharma,医薬,420.0,380.0,340.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
DIS,US,Disney,メディア・IP,100.0,90.0,82.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
KVYO,US,Klaviyo,マーケSaaS,15.0,12.0,10.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
DKNG,US,DraftKings,スポーツベッティング,32.0,28.0,24.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
CRSP,US,CRISPR Therapeutics,遺伝子編集,45.0,36.0,28.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
BEAM,US,Beam Therapeutics,遺伝子編集,26.5,22.0,18.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
ETN,US,Eaton,電力インフラ,330.0,290.0,250.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
MSTR,US,MicroStrategy,Bitcoin連動,240.0,190.0,150.0,SPLIT_SCALE_OK,medium,維持。ただしヘルスチェック対象,過去の株式分割後スケールとして大きな矛盾なし。ただしBTC条件を併用。
POET,US,POET Technologies,光電融合・CPO,3.8,2.8,2.0,DAILY_SCALE_CHECK_REQUIRED,high,価格桁・逆分割・ティッカー変更チェックを毎回実施,小型高ボラ。価格桁と流動性チェック必須。
KITT,US,Nauticus Robotics,海洋ロボ・超小型,1.2,0.8,0.5,DAILY_SCALE_CHECK_REQUIRED,high,価格桁・逆分割・ティッカー変更チェックを毎回実施,超小型で逆分割・ティッカー/価格スケール変更リスクが高い。
AXTI,US,AXT,化合物半導体,2.5,2.0,1.5,DAILY_SCALE_CHECK_REQUIRED,high,価格桁・逆分割・ティッカー変更チェックを毎回実施,小型・低位株寄り。価格異常値チェック必須。
COHR,US,Coherent,光通信・CPO,75.0,60.0,48.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
ANET,US,Arista Networks,AIネットワーク,100.0,85.0,70.0,SPLIT_SCALE_OK,low,維持,過去の株式分割後スケールとして大きな矛盾なし。
DDOG,US,Datadog,監視SaaS,125.0,105.0,85.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
SNOW,US,Snowflake,データクラウド,180.0,150.0,125.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
OPTX,US,Syntec Optics,精密光学・フォトニクス,1.2,0.8,0.5,DAILY_SCALE_CHECK_REQUIRED,high,価格桁・逆分割・ティッカー変更チェックを毎回実施,超小型で逆分割・流動性・価格スケール変更リスクが高い。
AEM,US,Agnico Eagle Mines,金鉱株,120.0,105.0,90.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
ZETA,US,Zeta Global,マーケAI,13.0,10.0,8.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
SPCX,US,SpaceX/SPCX,SpaceX要確認,,,,DAILY_SCALE_CHECK_REQUIRED,high,価格桁・逆分割・ティッカー変更チェックを毎回実施,取引可能ティッカー未確認。価格を作らない。
7974.T,JP,任天堂,ゲーム・IP,10000.0,9000.0,8000.0,SPLIT_SCALE_OK,low,維持,任天堂は分割後スケールとして大きな矛盾なし。
6383.T,JP,ダイフク,物流自動化,3000.0,2700.0,2400.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
5401.T,JP,日本製鉄,鉄鋼,3000.0,2700.0,2400.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
4901.T,JP,富士フイルム,ヘルスケア・素材,3000.0,2700.0,2400.0,SPLIT_SCALE_OK,low,維持,富士フイルムは分割後スケールとして大きな矛盾なし。
3407.T,JP,旭化成,総合化学,950.0,850.0,760.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
3402.T,JP,東レ,素材,850.0,760.0,680.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
3405.T,JP,クラレ,高機能化学,1550.0,1400.0,1250.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
2871.T,JP,ニチレイ,食品・冷凍物流,1650.0,1500.0,1350.0,FIXED,high,1650/1500/1350に修正済み,v1.2で価格スケール修正済み。
8601.T,JP,大和証券G,金融・証券,900.0,800.0,700.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
8410.T,JP,セブン銀行,銀行・ATM,290.0,260.0,230.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
6902.T,JP,デンソー,自動車部品,2000.0,1800.0,1600.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
6758.T,JP,ソニーG,エンタメ・半導体,3400.0,3200.0,3000.0,SPLIT_SCALE_OK,low,維持,ソニーGは分割後スケールとして大きな矛盾なし。
5020.T,JP,ENEOS,エネルギー,850.0,780.0,700.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
4063.T,JP,信越化学,半導体材料・塩ビ,4900.0,4500.0,4100.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
4042.T,JP,東ソー,化学,2650.0,2400.0,2200.0,VALUATION_REVIEW_NOT_SCALE_ERROR,medium,月次見直し対象,東ソーは基準がやや高めに見える可能性あり。ただし価格スケール異常ではなく、バリュエーション見直し対象。
1911.T,JP,住友林業,住宅・木材,1300.0,1150.0,1000.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
1928.T,JP,積水ハウス,住宅,3200.0,2900.0,2600.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
6326.T,JP,クボタ,農機・水インフラ,2000.0,1800.0,1600.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
7267.T,JP,ホンダ,自動車,1450.0,1300.0,1150.0,SPLIT_SCALE_OK,low,維持,ホンダは分割後スケールとして大きな矛盾なし。
6501.T,JP,日立,インフラ・DX,3500.0,3200.0,2900.0,SPLIT_SCALE_OK,low,維持,日立は分割後スケールとして大きな矛盾なし。
9861.T,JP,吉野家HD,外食,2600.0,2300.0,2000.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
7821.T,JP,前田工繊,防災・土木資材,2000.0,1800.0,1600.0,VALUATION_REVIEW_NOT_SCALE_ERROR,medium,月次見直し対象,前田工繊は既存基準を維持するが、成長鈍化時は本命価格を下げる候補。
1377.T,JP,サカタのタネ,種苗,3400.0,3000.0,2700.0,VALUATION_REVIEW_NOT_SCALE_ERROR,medium,月次見直し対象,サカタのタネは業績サイクルがあり、初期基準は月次で再評価。
6287.T,JP,サトーHD,自動認識,2300.0,2100.0,1900.0,VALUATION_REVIEW_NOT_SCALE_ERROR,medium,月次見直し対象,サトーHDは基準がやや浅い可能性あり。ただし価格スケール異常ではなく、月次で業績/配当/ROE確認。
4368.T,JP,扶桑化学,半導体材料,4000.0,3600.0,3200.0,OK,low,維持,価格スケール上の明確な異常は見つからず。月次レビューで通常確認。
9432.T,JP,NTT/日本電信電話,通信,145.0,135.0,125.0,SPLIT_SCALE_OK,low,維持,NTTは分割後スケールとして大きな矛盾なし。
