ticker,market,name,theme,asset_type,priority,watch_reason,active,memo
8410.T,JP,セブン銀行,銀行・ATM,stock,medium,銀行・ATM,true,
6902.T,JP,デンソー,自動車部品,stock,medium,自動車部品,true,
6758.T,JP,ソニーG,エンタメ・半導体,stock,high,日本株コア候補,true,
5020.T,JP,ENEOS,エネルギー,stock,medium,高配当エネルギー,true,
4063.T,JP,信越化学,半導体材料・塩ビ,stock,high,高品質化学コア,true,
4042.T,JP,東ソー,化学,stock,high,清原式寄り化学バリュー,true,
1911.T,JP,住友林業,住宅・木材,stock,medium,住宅・木材,true,
1928.T,JP,積水ハウス,住宅,stock,medium,住宅・高配当,true,
6326.T,JP,クボタ,農機・水インフラ,stock,medium,農機・水インフラ,true,
7267.T,JP,ホンダ,自動車,stock,medium,大型自動車,true,
6501.T,JP,日立,インフラ・DX,stock,high,日本大型成長,true,
9861.T,JP,吉野家HD,外食,stock,low,外食,true,
7821.T,JP,前田工繊,防災・土木資材,stock,medium,防災・土木資材,true,
1377.T,JP,サカタのタネ,種苗,stock,medium,種苗,true,
6287.T,JP,サトーHD,自動認識,stock,medium,自動認識,true,
4368.T,JP,扶桑化学,半導体材料,stock,high,半導体材料・旧評価→新評価候補,true,
9432.T,JP,NTT/日本電信電話,通信,stock,medium,通信・高配当,true,
